name,tag,summoner_id,summoner_level,puuid,division,rank,lp,error,date,numeric_value
Rocoto,2817,EVoBJLCtR1UeUh_TQtQgzWuodNEah8NUARisDCbQmYj9BOw,147,tquRl2eWfyEbmeS0MfCn-EQu0Jf185no3-NVGjG_n3y_jChWpIc-If8j8OSklaPXI6PsmVOmLKid0Q,Unknown,Unknown,0,,2025-01-13,0.0
Jaz1725,LAN,t_Mw7qa9iaXXlYDOGTg3Kg-KNiROxztxGpItPJLACDOn7CN6hgexPE0dDQ,96,1hpMcmaQ2laGI70TCUfxehD1Fc4DBqPLc_M0O_rC9KTZD-rCWAJEIv48IxhzuhaWMQytuxZy9uGspg,IRON,IV,66,,2025-01-13,0.66
Snixx,LAN,y7gdLu5kM6s_bjuUsQBRjUzR-cUYyp9f3va2KywBWO-X,260,6Hp21Ve1AoQk8IqTxjv99TMOBFpcLX3Zs1HZpEErclJ_eRmB_cbtZm_muFVV1bNEuJFdjL_v5zAP7g,IRON,II,14,,2025-01-13,2.14
Chenyao,cutie,kN3_g4nCMoKRRyB7j-TSOo00JtRVRfnDWNOZiZfNAVBTeM4,159,9JmTtXzxwY2em_yICefPnUP8BwUWLMwRwrQ-Ie8EM4eEt7HWb9lGmU9SZFp8ZJhJgaPiP_eHfAavFQ,Unknown,Unknown,0,,2025-01-13,0.0
TioSpidey,LAN,tvTbNuQXyTM-LD84WRDtdL4X-vj_tAkWqwfl1bOkypy06Q,639,Z6MbgvI_npmuu1_YOd2oTGfnlzDHZxya_gN4sfnkZIGtu0iYLX-jVJuEO7Nf3yUSmTHOyqZcWqm3Jw,GOLD,IV,77,,2025-01-13,12.77
Askyex,3012,lg4z0GYer2lL9Hjy16r9jR3c6zM4R0t2Hrc4usikJ64NA9g,656,Ip9UBwvVMl1gk7SifpRKZYMBIajZFe1tbrvk99IJ6N2Z4B9Qrs_L9W6EFVbT5EojHfmNlF3xjKOHMQ,PLATINUM,II,68,,2025-01-13,18.68
l 4yd4n l,LAN,1t_mBZF8We_0Fx0F1maznQVhb7Z2ReHIBwGTl-PLbQkikWE,278,npYV8j6lEIB7Oj-TQ1zHc4o6PhMIQBg81BhPUiCww2DyRd9y2VvclsEy8kbyP2iZ8itcncaL3ejyow,EMERALD,III,0,,2025-01-13,21.0
WarwickEngineer,3029,7IzGbISBqZAiLZkPyZ984N9braGHZfZqTbYyTIGhVvpLLOM,154,t7pojmvjRsNfL59YvbwfmT8kQwWBL12gx5PHUfBJ6GxELik-Lo048pF-mlUIsFn3__kUl3epzL_S3g,Unknown,Unknown,0,,2025-01-13,0.0
Rodrimen,LAN,WOZSJaeA2_xw2-xBjwz3LawGM8UbcaRcSkR3wUP1zRni,112,TzTDI6O8xmII0QYmOGEs58ZnDjgJs29TYvgzoreJjBAQCSh9CKiZFiPWSf2nWWK9mRLAiGolUAb5SA,Unknown,Unknown,0,,2025-01-13,0.0
jefferyxdlol,LAN,VgQcvLylbApivvBcWmWs4mhrBBE9fro8FAnfKiNeJ17-7g,218,VWenMaVWek5uoRITYgqTEMX8g7loVy7dee_WCJPyQ2b1cDoWvfdY9zzy4qACIvol6axwwUGTZmCuCg,PLATINUM,I,64,,2025-01-13,19.64
JecquesLoL,LAN,L_tEpP3RByyR3E5-F2r3MfeHyvQGSFd-3oQQNCPakBgmMpE,166,kmG54FRmAXI6w2NclKGko8BE9ckLCpgQsTNq4R4KaysTlMq29zcxuK8QsWbtnqfV6Tg5oqfbBGr4gw,Unknown,Unknown,0,,2025-01-13,0.0
Azback,117,7zadRq_hxyposZ0AUqA-MaVSYHRy5ZpdRvBWjT67RlVf5w,713,59EzZ_CvSvuG_wVXWvTzpfYghy3N21f2V35zlTLNyrr7e2ktnskTO10SEyFwYH8Ql1mikjo7IqhZzg,Unknown,Unknown,0,,2025-01-13,0.0
Squishyx,LAN,dSpj0NA4e6CDUkCRKBpdBF8Bazc_BFYf-9vsu8VLhKFnibk,722,tESHXLQgIMbszXfEWvbZHowEquKVu2xfY95XwNEHG25JRqkPk6Mmg_rYO_W-xWBYvNX0C_zXfhrYqA,PLATINUM,IV,94,,2025-01-13,16.94
